"","Hazard","T1_V1","T1_V2","T1_V3","T1_V4","T1_V5","T1_V6","T1_V9","T1_V10","T1_V11","T1_V13","T1_V14","T1_V16","T1_V17","T2_V1","T2_V2","T2_V3","T2_V4","T2_V5","T2_V6","T2_V7","T2_V9","T2_V10","T2_V11","T2_V12","T2_V13","T2_V14","T2_V15"
"11769",2,4,19,2,"N","B","Y","B",7,"B",20,1,"E","N",76,10,"N",8,"A",2,28,17,4,"Y","N","E",5,3
"11770",9,13,22,3,"N","H","N","E",3,"H",20,1,"R","N",52,11,"Y",3,"B",1,34,14,6,"Y","N","E",1,1
"11771",6,10,21,4,"N","H","N","E",3,"N",15,1,"R","N",23,15,"Y",10,"B",2,31,1,6,"Y","N","D",3,1
"11772",1,19,7,5,"N","K","N","E",3,"H",10,1,"N","N",82,12,"N",14,"A",1,25,17,4,"N","N","A",1,7
"11773",10,12,19,7,"N","C","N","D",8,"L",10,1,"A","N",36,11,"Y",2,"B",1,34,1,5,"N","N","A",1,1
"11774",2,12,6,4,"N","C","Y","D",12,"L",10,1,"I","N",46,28,"N",10,"B",1,34,1,6,"Y","N","E",2,1
"11775",4,6,18,2,"B","A","N","D",8,"L",5,1,"B","N",76,12,"N",19,"A",2,37,8,5,"Y","N","E",2,11
"11778",1,5,9,5,"B","I","Y","E",3,"H",20,3,"N","Y",56,8,"Y",13,"A",3,22,12,2,"N","Y","E",5,1
"11779",1,18,14,1,"N","K","Y","E",12,"H",10,1,"K","N",67,7,"N",10,"A",2,25,4,4,"Y","N","E",2,6
"11780",1,2,5,3,"C","A","N","D",8,"B",10,1,"B","Y",74,11,"N",7,"A",2,40,4,7,"Y","Y","E",2,3
"11782",4,15,19,2,"B","C","Y","D",12,"B",20,1,"A","N",79,14,"N",18,"A",2,22,12,4,"N","N","A",2,10
"11783",4,16,11,7,"N","H","N","E",12,"H",5,3,"Q","N",44,8,"N",7,"B",1,31,12,4,"Y","N","E",1,1
"11784",4,16,18,3,"B","I","Y","E",2,"H",10,2,"Q","N",4,13,"N",6,"A",1,22,17,6,"N","N","A",3,2
"11785",5,18,18,1,"B","B","N","D",12,"B",15,3,"D","N",42,9,"N",7,"C",1,40,21,5,"Y","N","E",3,1
"11786",1,14,18,5,"N","H","Y","D",2,"B",10,1,"E","Y",93,16,"N",13,"A",2,40,6,5,"Y","Y","E",3,5
"11787",14,2,7,3,"N","K","N","E",8,"H",20,1,"K","N",50,19,"Y",7,"A",2,37,11,5,"Y","N","E",2,3
"11789",1,5,22,5,"S","K","N","E",3,"I",10,2,"K","Y",84,6,"N",15,"A",2,40,6,5,"Y","Y","E",2,1
"11790",10,13,6,4,"N","H","Y","E",3,"H",10,1,"N","N",44,21,"N",5,"B",2,37,1,6,"Y","N","E",2,1
"11791",1,5,1,1,"B","I","Y","E",12,"H",10,3,"K","N",33,9,"N",5,"A",1,31,18,1,"Y","N","E",1,6
"11792",4,18,20,5,"E","K","Y","E",12,"H",15,3,"K","Y",72,15,"Y",10,"A",1,25,8,6,"N","Y","A",1,5
"11793",7,10,12,5,"N","K","Y","E",3,"H",10,1,"R","N",17,11,"Y",12,"A",2,40,14,3,"Y","N","E",2,1
"11796",6,8,22,5,"N","C","Y","D",8,"L",20,1,"D","N",82,17,"N",5,"A",1,25,21,6,"N","N","A",2,3
"11798",1,13,7,5,"N","C","Y","D",8,"B",15,1,"A","Y",84,11,"Y",10,"A",2,31,7,4,"N","Y","C",3,4
"11799",1,8,15,5,"W","H","Y","D",12,"B",10,1,"D","N",59,11,"Y",11,"A",2,31,7,4,"Y","N","E",3,7
"11800",7,9,19,3,"N","B","N","D",8,"B",10,1,"A","N",66,12,"N",17,"A",2,40,3,1,"Y","N","C",2,9
"11801",2,7,15,2,"B","A","N","D",3,"B",20,1,"I","N",58,9,"Y",5,"A",2,40,11,6,"Y","N","E",4,2
"11804",13,19,23,4,"N","K","N","E",8,"H",15,1,"R","N",37,16,"Y",19,"A",2,40,19,4,"Y","N","C",2,11
"11805",1,9,19,7,"N","H","N","D",7,"B",15,1,"E","N",74,12,"Y",15,"A",2,31,9,5,"N","N","A",2,4
"11806",1,15,4,3,"N","K","N","E",12,"H",15,1,"R","Y",48,10,"N",7,"A",2,22,17,4,"N","Y","A",4,3
"11807",1,12,4,3,"N","H","N","D",7,"L",15,1,"I","N",65,23,"Y",2,"B",3,37,10,7,"Y","N","E",3,1
"11808",6,17,6,4,"N","K","N","E",12,"J",20,1,"M","N",40,7,"Y",10,"A",1,22,18,2,"N","N","A",1,3
"11809",7,9,1,1,"N","H","Y","E",3,"H",15,3,"K","N",63,9,"Y",5,"B",2,40,5,3,"Y","N","E",5,1
"11810",8,11,18,2,"S","I","Y","E",3,"H",20,1,"J","Y",79,10,"N",16,"A",4,25,17,7,"Y","Y","E",5,7
"11811",5,8,18,2,"E","K","Y","E",7,"H",15,1,"J","N",76,19,"Y",10,"A",2,31,10,7,"Y","N","C",2,4
"11812",1,14,6,4,"N","A","N","D",8,"A",15,3,"A","N",81,9,"N",13,"A",1,34,1,4,"Y","N","C",1,1
"11813",4,19,2,1,"W","C","N","D",8,"B",10,2,"H","N",55,12,"N",7,"B",5,31,10,1,"Y","N","D",5,1
"11814",2,15,17,5,"N","H","Y","D",3,"B",10,1,"B","N",73,20,"N",14,"A",2,40,17,4,"Y","N","E",2,4
"11815",4,5,1,1,"C","A","Y","D",2,"B",10,3,"B","N",17,9,"N",5,"A",2,31,16,5,"Y","N","E",2,1
"11816",13,6,18,4,"B","I","N","E",3,"K",10,1,"K","Y",99,5,"N",12,"A",2,37,1,6,"Y","Y","E",2,2
"11818",2,5,13,7,"C","H","Y","E",12,"J",10,1,"M","N",24,10,"N",11,"B",1,37,8,7,"N","N","A",1,1
"11819",1,12,17,1,"B","I","Y","E",7,"H",20,1,"K","N",27,14,"N",21,"A",1,37,19,3,"N","N","E",1,1
"11820",9,12,22,2,"B","C","N","D",12,"L",20,1,"D","N",55,13,"N",3,"C",2,40,25,3,"Y","N","E",2,1
"11821",5,7,13,4,"B","A","Y","B",3,"B",15,1,"B","N",70,13,"N",4,"B",1,31,5,6,"Y","N","D",1,1
"11824",1,10,14,2,"N","C","N","B",8,"B",20,1,"E","Y",82,27,"Y",16,"A",1,40,21,4,"Y","Y","E",1,7
"11825",4,9,2,1,"N","K","Y","E",12,"H",10,3,"R","N",80,11,"N",15,"A",2,37,18,6,"Y","N","E",2,2
"11826",1,11,18,3,"N","C","Y","D",3,"B",10,1,"B","N",53,14,"N",16,"A",3,22,21,7,"N","N","A",3,4
"11827",15,15,17,6,"N","K","N","E",8,"H",15,3,"J","Y",59,15,"N",11,"A",2,40,17,3,"Y","Y","C",2,7
"11828",4,2,3,2,"C","A","N","D",12,"B",10,1,"B","N",93,9,"N",7,"C",1,40,16,1,"Y","N","E",1,1
"11829",2,19,16,2,"B","H","Y","D",7,"B",10,1,"A","N",47,10,"Y",17,"A",2,22,17,1,"N","N","A",2,6
"11830",1,7,14,4,"N","B","N","D",7,"B",15,1,"G","N",28,9,"N",6,"A",2,37,1,4,"Y","N","E",2,1
"11831",1,13,7,5,"N","H","Y","E",7,"I",15,1,"R","N",21,14,"N",5,"B",1,37,3,6,"Y","N","E",1,1
"11832",3,8,23,4,"C","K","Y","E",12,"N",15,1,"R","N",89,22,"Y",6,"A",2,40,20,3,"N","N","B",2,4
"11833",17,19,3,2,"N","H","N","E",3,"M",15,1,"R","N",49,12,"N",13,"B",1,37,10,3,"N","N","A",2,3
"11834",1,11,7,5,"W","I","N","E",3,"J",15,1,"N","N",36,13,"N",8,"A",5,34,16,5,"Y","N","E",6,3
"11835",7,2,4,3,"C","K","Y","E",12,"H",10,1,"J","N",45,11,"Y",11,"A",2,34,2,4,"N","N","A",2,3
"11836",4,13,20,2,"E","H","N","E",3,"H",15,2,"R","N",27,13,"N",6,"B",4,37,2,3,"Y","N","C",4,2
"11837",1,1,15,3,"C","A","N","D",3,"L",20,1,"B","N",40,19,"N",22,"A",2,25,21,3,"Y","N","C",1,1
"11838",16,12,12,1,"W","K","N","F",8,"J",10,1,"M","Y",38,13,"N",11,"C",1,40,11,4,"Y","Y","E",1,1
"11839",1,13,21,1,"N","K","Y","E",3,"H",10,1,"K","Y",81,14,"Y",15,"A",3,31,18,4,"Y","Y","E",3,4
"11841",1,2,6,2,"C","K","Y","E",8,"H",15,3,"K","N",57,10,"N",6,"A",2,37,24,1,"Y","N","E",3,2
"11842",1,14,5,2,"E","K","Y","E",7,"H",20,2,"R","Y",63,13,"Y",13,"A",3,25,23,5,"N","Y","C",3,4
"11843",1,10,23,4,"N","H","Y","E",3,"M",15,1,"J","Y",30,15,"N",7,"B",3,31,7,4,"Y","Y","E",3,1
"11844",4,19,15,2,"N","K","Y","E",12,"N",10,1,"K","N",44,9,"N",7,"A",2,40,13,6,"N","N","A",4,2
"11845",4,2,19,1,"N","K","N","E",8,"H",10,1,"L","N",57,23,"N",13,"A",2,34,24,2,"Y","N","E",3,4
"11847",1,18,14,2,"N","H","N","E",8,"H",20,1,"R","N",40,11,"N",3,"B",1,28,2,3,"N","N","A",1,1
"11848",1,8,18,3,"N","C","Y","D",12,"A",20,1,"E","N",20,13,"N",11,"A",1,28,17,6,"N","N","C",4,4
"11849",7,8,18,3,"B","I","N","E",12,"J",10,1,"K","N",84,16,"N",16,"A",1,40,9,4,"Y","N","E",1,5
"11853",7,8,20,3,"H","K","N","E",8,"M",10,2,"J","N",99,19,"N",20,"A",1,34,6,6,"Y","N","C",1,4
"11854",1,14,8,1,"N","C","Y","D",3,"A",15,1,"I","N",81,14,"N",8,"B",2,37,16,4,"Y","N","C",2,1
"11855",11,6,4,3,"B","I","N","F",3,"H",5,3,"K","N",65,7,"N",14,"A",2,31,24,4,"Y","N","E",2,7
"11856",1,13,19,3,"W","H","Y","D",7,"B",10,3,"D","N",92,16,"N",11,"A",2,28,18,1,"N","N","A",3,3
"11857",2,11,6,3,"N","H","Y","D",12,"B",20,1,"B","N",37,21,"N",13,"A",1,31,16,6,"N","N","A",1,2
"11859",2,14,9,6,"N","K","N","E",12,"H",10,1,"R","Y",86,16,"N",8,"A",2,34,24,4,"Y","Y","D",4,4
"11860",1,15,1,1,"B","C","N","D",12,"B",15,1,"A","N",20,16,"N",12,"B",2,34,21,2,"N","N","A",2,1
"11861",10,16,23,4,"E","K","N","E",2,"H",15,1,"R","N",69,18,"N",6,"C",1,40,16,1,"Y","N","D",1,1
"11862",5,7,15,2,"B","K","N","F",3,"I",15,2,"R","N",79,6,"N",9,"A",2,31,13,2,"Y","N","E",2,3
"11863",1,5,17,2,"S","A","N","D",8,"B",20,1,"G","N",32,9,"N",4,"A",2,25,20,3,"N","N","A",3,3
"11864",1,9,1,1,"B","C","N","D",7,"B",15,1,"C","N",53,13,"N",5,"D",2,25,1,7,"Y","N","E",4,1
"11866",2,7,18,7,"B","A","N","D",8,"B",20,1,"I","N",83,7,"N",6,"A",1,37,16,7,"Y","N","B",1,3
"11869",10,6,19,7,"N","K","Y","E",8,"H",15,1,"R","Y",39,7,"N",15,"A",2,40,22,5,"N","Y","C",4,7
"11870",1,2,12,3,"C","A","Y","D",12,"B",5,1,"C","N",50,14,"N",13,"B",2,40,23,6,"Y","N","E",2,1
"11871",1,13,18,1,"N","H","Y","F",8,"H",5,1,"L","N",12,13,"N",14,"B",1,40,4,4,"Y","N","E",1,1
"11872",5,2,20,6,"N","K","N","E",12,"J",15,2,"R","N",50,20,"N",18,"A",2,22,23,4,"Y","N","E",2,3
"11873",2,4,13,4,"N","K","N","E",3,"J",5,1,"N","N",100,8,"Y",15,"A",2,34,18,7,"Y","N","D",2,5
"11874",5,15,16,4,"N","H","Y","D",12,"B",15,1,"B","N",51,12,"N",13,"A",3,37,6,3,"N","N","A",6,3
"11875",1,11,9,5,"N","C","Y","B",7,"L",15,1,"I","N",50,16,"N",8,"C",3,40,4,4,"Y","N","E",6,4
"11877",4,8,19,4,"B","H","N","D",12,"B",10,3,"F","N",70,16,"N",9,"A",2,28,18,6,"Y","N","E",2,5
"11879",1,9,6,4,"B","H","N","G",12,"H",10,1,"L","N",56,17,"Y",8,"B",1,34,1,4,"N","N","A",1,1
"11880",2,18,19,2,"B","H","Y","D",12,"B",20,1,"I","Y",52,14,"N",13,"A",1,31,23,5,"Y","Y","D",5,3
"11881",11,4,4,3,"E","K","N","E",3,"H",15,3,"L","Y",24,12,"N",12,"A",3,31,18,4,"Y","Y","E",3,5
"11882",1,15,18,4,"H","H","Y","D",12,"B",15,3,"A","N",25,16,"N",20,"A",1,34,22,7,"Y","N","E",1,12
"11885",7,7,10,1,"B","K","Y","E",8,"J",15,3,"K","N",94,19,"N",10,"A",2,40,4,2,"Y","N","E",3,7
"11886",9,5,9,6,"B","A","Y","D",8,"B",10,3,"B","N",70,7,"N",14,"A",4,28,18,3,"Y","N","E",4,6
"11887",1,6,6,4,"B","A","Y","D",12,"B",20,3,"B","N",81,11,"N",16,"A",3,25,17,4,"Y","N","C",6,5
"11888",1,11,7,4,"W","A","Y","D",8,"B",20,3,"B","N",82,8,"N",8,"A",2,37,18,5,"N","N","A",5,2
"11889",1,3,9,6,"G","K","N","F",8,"H",20,1,"K","N",70,12,"N",19,"A",2,37,16,4,"Y","N","E",2,1
"11890",2,7,17,2,"B","A","N","D",8,"B",10,1,"B","Y",90,9,"N",12,"A",1,28,1,3,"Y","Y","C",1,2
"11891",4,11,17,1,"N","C","N","D",3,"E",20,1,"B","N",14,11,"N",5,"B",2,40,21,4,"N","N","A",2,1
"11892",4,4,9,6,"N","A","N","D",3,"B",20,3,"B","N",63,6,"Y",5,"B",2,37,10,4,"Y","N","E",2,1
"11893",1,7,10,2,"B","A","N","D",12,"B",20,3,"B","N",53,8,"Y",4,"A",2,40,4,7,"Y","N","E",3,1
"11894",3,11,8,3,"N","C","N","D",2,"L",5,1,"I","N",13,13,"N",4,"A",1,40,18,3,"Y","N","E",1,1
"11895",1,13,13,3,"N","C","N","D",12,"B",15,1,"I","Y",91,13,"Y",8,"A",2,40,18,6,"Y","Y","C",2,6
"11896",7,17,6,1,"B","B","N","D",2,"B",20,3,"I","N",35,8,"N",17,"A",2,40,6,7,"Y","N","E",2,10
"11897",6,12,21,1,"B","I","Y","E",3,"H",20,1,"K","N",58,16,"Y",14,"A",2,28,1,6,"Y","N","E",2,10
"11898",1,12,13,3,"N","H","Y","D",12,"B",15,1,"B","N",14,9,"Y",7,"C",1,22,10,7,"Y","N","E",1,1
"11900",4,4,5,4,"B","H","N","B",12,"B",20,1,"B","N",65,17,"N",14,"A",2,37,19,4,"Y","N","E",2,1
"11902",1,15,1,1,"E","C","N","D",2,"B",5,1,"I","N",48,21,"Y",7,"B",1,31,1,3,"N","N","C",1,1
"11905",7,3,19,4,"B","I","N","F",2,"J",20,1,"R","N",36,13,"Y",8,"A",2,37,21,6,"N","N","A",6,3
"11906",3,16,17,4,"B","B","Y","D",3,"B",20,1,"I","Y",97,10,"N",17,"C",1,40,12,4,"Y","Y","E",1,1
"11907",9,19,19,5,"W","I","N","E",12,"H",15,3,"R","N",24,13,"N",13,"A",3,31,8,1,"Y","N","C",3,11
"11909",7,10,20,4,"N","H","N","E",12,"H",10,3,"R","N",24,16,"N",4,"B",2,25,8,3,"Y","N","E",2,1
"11910",5,9,21,3,"W","H","Y","D",7,"L",15,2,"D","N",38,14,"Y",3,"B",2,31,17,1,"N","N","A",2,1
"11912",2,5,1,1,"S","I","Y","F",7,"J",20,1,"N","N",14,8,"Y",2,"A",1,31,4,6,"N","N","E",1,1
"11913",13,3,20,2,"N","K","N","E",8,"H",20,1,"M","Y",93,29,"N",17,"A",2,37,15,3,"Y","Y","E",2,11
"11916",7,8,13,4,"N","K","N","E",8,"H",15,1,"K","N",77,14,"N",6,"A",2,31,8,6,"Y","N","E",2,6
"11917",5,9,20,4,"B","I","Y","E",12,"H",10,1,"M","N",48,14,"N",9,"A",2,37,2,7,"Y","N","E",2,3
"11918",1,13,22,3,"B","I","Y","E",8,"H",10,1,"R","N",58,24,"N",6,"A",2,25,8,4,"Y","N","C",3,3
"11919",7,5,19,6,"N","K","Y","E",12,"H",15,2,"R","N",96,7,"Y",12,"A",4,22,17,4,"Y","N","C",5,4
"11920",5,16,4,3,"N","B","Y","D",2,"B",10,3,"G","N",48,9,"N",5,"A",2,25,18,6,"Y","N","D",4,2
"11921",4,10,8,2,"N","K","Y","E",3,"H",20,1,"R","N",77,13,"N",12,"A",2,34,20,4,"Y","N","E",2,3
"11922",5,10,23,2,"N","C","N","D",12,"L",20,1,"I","N",51,13,"Y",8,"B",2,34,19,4,"Y","N","E",2,1
"11923",4,1,15,4,"N","A","N","D",12,"B",15,1,"A","N",36,12,"Y",11,"A",3,40,21,5,"Y","N","C",2,1
"11924",3,6,15,1,"B","A","Y","D",8,"B",20,2,"B","N",53,9,"N",4,"C",2,40,17,3,"Y","N","E",2,1
"11926",1,2,5,6,"C","H","N","E",8,"H",10,1,"K","N",45,15,"N",6,"D",2,25,22,7,"Y","N","E",5,1
"11928",1,13,7,1,"N","C","N","D",7,"L",15,1,"I","Y",86,14,"N",13,"A",1,31,15,6,"Y","Y","C",2,4
"11929",1,14,19,6,"B","H","N","D",12,"B",20,1,"I","N",64,10,"Y",4,"B",1,31,18,6,"N","N","A",1,1
"11931",1,12,19,6,"B","C","Y","D",8,"B",15,1,"A","Y",57,14,"Y",5,"A",2,31,17,7,"Y","Y","E",2,3
"11933",1,12,13,1,"E","C","N","D",12,"L",15,1,"I","N",73,23,"N",11,"C",1,31,6,2,"Y","N","E",1,1
"11935",4,15,13,2,"N","A","Y","D",2,"B",10,3,"B","N",62,12,"N",12,"A",2,31,18,7,"N","N","A",2,10
"11936",4,2,19,2,"C","H","N","E",12,"H",20,2,"R","N",53,18,"Y",8,"B",2,31,24,6,"Y","N","E",1,3
"11937",1,1,18,4,"C","A","Y","D",8,"B",15,1,"A","N",42,17,"Y",5,"A",3,28,21,7,"Y","N","D",4,4
"11938",1,3,6,4,"N","C","N","D",8,"B",15,1,"B","N",52,10,"N",7,"A",2,37,1,6,"Y","N","E",2,1
"11939",4,8,21,4,"W","H","N","D",7,"L",20,1,"A","N",69,20,"Y",13,"A",2,37,22,6,"Y","N","E",2,8
"11940",1,2,18,6,"C","K","N","E",8,"J",15,1,"K","N",48,19,"N",16,"A",1,40,23,7,"Y","N","E",2,5
"11941",1,18,5,3,"W","H","N","E",8,"H",5,3,"R","N",35,8,"N",6,"B",2,40,8,5,"N","N","C",1,1
"11942",1,11,14,4,"N","A","N","D",3,"B",10,1,"I","Y",76,8,"N",13,"A",2,37,18,7,"Y","Y","E",3,10
"11943",4,5,1,1,"N","A","Y","D",8,"B",20,1,"H","N",18,7,"Y",7,"A",2,28,24,4,"Y","N","E",2,1
"11944",3,6,17,3,"B","I","Y","E",12,"H",15,1,"R","N",17,9,"N",9,"A",2,34,18,4,"N","N","A",5,3
"11945",2,8,21,2,"N","H","Y","D",12,"L",10,1,"D","N",76,12,"N",5,"B",2,28,4,3,"Y","N","C",2,1
"11946",1,13,21,3,"N","C","N","D",3,"L",20,1,"I","N",9,20,"N",10,"A",1,28,4,6,"Y","N","C",4,3
"11947",1,14,8,2,"N","C","Y","D",3,"L",15,1,"I","N",49,15,"Y",12,"A",3,37,11,7,"Y","N","E",3,6
"11948",3,10,24,7,"N","H","N","E",2,"K",10,1,"R","N",35,23,"N",13,"B",1,31,14,4,"Y","N","E",1,1
"11949",3,10,6,4,"N","C","Y","B",12,"L",5,1,"A","Y",75,13,"N",16,"C",2,28,19,6,"Y","Y","E",2,5
"11950",1,13,21,5,"N","A","N","D",8,"L",10,1,"I","Y",57,16,"N",11,"A",2,22,17,1,"Y","Y","E",2,2
"11952",1,3,19,1,"B","I","Y","E",2,"J",15,1,"R","N",61,10,"Y",10,"A",1,34,18,6,"Y","N","D",1,2
"11953",10,19,16,1,"N","C","Y","D",12,"B",15,1,"I","Y",80,9,"Y",13,"C",1,25,7,4,"Y","Y","E",1,1
"11954",2,1,19,2,"C","B","N","D",8,"B",10,1,"E","N",34,13,"Y",4,"B",2,40,21,5,"Y","N","C",2,1
"11957",1,6,13,1,"N","K","N","E",3,"H",15,1,"K","Y",79,6,"N",11,"A",2,37,1,7,"Y","Y","E",2,2
"11958",1,15,5,3,"N","K","Y","E",3,"I",10,3,"K","Y",56,11,"N",4,"A",1,31,3,6,"Y","Y","C",1,4
"11959",1,16,4,3,"H","B","N","D",3,"B",5,1,"I","N",45,8,"Y",12,"A",3,31,20,3,"N","N","A",3,6
"11960",1,14,21,4,"N","C","Y","D",12,"L",15,1,"I","N",55,22,"N",14,"A",1,34,1,6,"Y","N","C",1,9
"11961",1,19,15,3,"G","K","N","E",8,"H",10,1,"K","N",29,12,"N",3,"A",2,40,5,1,"N","N","A",2,2
"11962",2,9,19,6,"B","C","N","D",7,"B",10,1,"A","N",51,11,"N",6,"A",2,40,3,4,"N","N","A",4,4
"11965",9,13,16,2,"B","H","N","F",3,"J",20,1,"R","Y",46,13,"N",5,"B",4,31,2,6,"Y","Y","E",4,1
"11966",22,5,21,5,"B","K","Y","E",8,"K",20,3,"K","N",57,11,"N",9,"C",2,40,20,5,"Y","N","E",2,1
"11967",2,9,8,3,"N","K","N","E",3,"J",10,1,"N","Y",64,13,"N",5,"A",1,28,18,3,"Y","Y","E",1,3
"11968",2,18,3,2,"N","K","Y","E",8,"H",10,3,"R","N",33,7,"Y",4,"A",2,40,21,3,"Y","N","B",1,3
"11969",1,15,16,2,"C","H","N","D",3,"B",20,1,"I","N",34,11,"Y",13,"A",2,37,10,1,"Y","N","E",4,1
"11970",1,13,22,5,"N","H","Y","D",8,"L",10,1,"I","N",54,24,"N",9,"B",1,40,18,7,"Y","N","C",1,1
"11972",8,4,17,2,"B","I","Y","F",2,"H",5,1,"R","N",78,13,"Y",18,"A",4,40,10,6,"N","N","A",6,9
"11973",5,4,6,4,"N","K","N","E",3,"H",10,1,"K","Y",72,8,"N",9,"C",2,34,20,3,"Y","Y","E",2,1
"11975",6,18,11,8,"N","K","N","F",8,"H",10,1,"O","N",21,10,"N",8,"A",1,37,8,7,"N","N","A",1,8
"11977",2,5,18,3,"B","I","N","E",3,"H",10,1,"K","N",75,9,"N",5,"A",2,40,16,5,"Y","N","D",5,3
"11979",1,6,2,2,"B","I","N","E",3,"H",20,3,"R","Y",67,8,"N",9,"A",2,31,10,7,"Y","Y","E",2,1
"11981",4,1,18,1,"N","B","N","D",3,"L",10,1,"B","Y",58,17,"N",9,"B",2,40,25,3,"Y","N","E",2,11
"11982",3,5,3,2,"B","A","Y","D",8,"B",10,1,"I","N",42,7,"Y",5,"A",2,40,18,3,"Y","N","E",7,1
"11984",1,11,12,2,"N","K","Y","E",3,"I",10,1,"K","Y",63,9,"N",15,"A",6,34,18,3,"N","Y","E",7,1
"11985",2,2,8,6,"C","K","Y","E",12,"H",15,3,"K","N",44,18,"Y",14,"A",3,28,22,5,"Y","N","E",3,1
"11987",2,6,8,2,"B","I","Y","E",8,"J",20,3,"R","Y",74,12,"N",18,"A",2,25,2,4,"Y","Y","E",2,3
"11988",1,8,9,2,"G","K","Y","F",8,"J",15,1,"K","N",74,12,"N",10,"C",2,31,5,4,"Y","N","E",2,1
"11989",7,12,19,2,"N","H","N","E",8,"H",15,1,"R","N",39,18,"Y",5,"B",2,40,13,1,"Y","N","E",2,11
"11990",4,16,1,1,"B","I","N","E",2,"H",20,3,"K","N",31,7,"Y",7,"A",2,31,24,4,"Y","N","E",5,1
"11992",14,3,20,5,"N","K","Y","E",12,"H",10,3,"Q","N",55,12,"N",12,"A",2,40,1,1,"Y","N","D",2,5
"11993",1,12,5,2,"W","H","N","E",8,"H",15,1,"K","N",41,21,"N",5,"B",2,25,7,4,"N","N","A",2,1
"11994",2,15,6,4,"B","H","N","E",8,"H",20,2,"K","N",35,13,"N",21,"B",1,34,1,1,"Y","N","C",1,1
"11995",11,12,6,2,"N","C","N","D",8,"L",20,1,"I","N",10,17,"N",4,"B",2,40,1,2,"N","N","A",5,1
"11996",2,19,11,1,"N","C","N","D",8,"B",20,2,"D","N",25,17,"N",6,"B",1,40,5,2,"N","N","A",1,1
"11997",4,12,20,1,"B","I","Y","F",3,"H",20,1,"R","N",62,13,"Y",16,"A",2,37,1,7,"Y","N","E",2,7
"11998",1,11,12,2,"N","B","Y","D",3,"L",20,1,"B","N",34,12,"Y",2,"B",1,40,16,7,"N","N","A",1,1
"12000",4,9,15,4,"E","H","Y","E",12,"J",20,1,"K","N",54,16,"N",6,"B",1,31,14,7,"N","N","A",1,1
"12001",4,8,16,2,"N","K","N","E",12,"I",15,1,"L","N",96,13,"Y",15,"A",2,37,4,2,"Y","N","D",2,11
"12002",4,1,14,8,"N","H","N","E",7,"H",15,1,"R","N",40,15,"Y",15,"D",2,37,21,3,"Y","N","C",1,9
"12004",2,18,15,6,"B","H","Y","E",3,"N",15,1,"K","N",26,10,"N",7,"B",2,25,5,7,"N","N","A",2,1
"12005",2,10,19,1,"N","K","Y","E",3,"H",10,1,"R","N",35,15,"N",13,"A",3,34,4,5,"Y","N","D",3,3
"12006",4,5,9,3,"N","D","N","D",3,"B",20,1,"I","N",95,9,"Y",13,"C",2,28,6,4,"Y","N","E",2,3
"12007",3,2,18,5,"N","B","Y","D",7,"L",15,1,"B","N",62,9,"N",5,"A",2,34,16,4,"Y","N","E",4,5
"12008",4,13,17,3,"N","C","N","D",3,"L",20,3,"I","Y",85,17,"Y",14,"B",3,25,2,3,"Y","Y","C",3,1
"12010",1,16,13,2,"B","A","N","D",3,"B",15,1,"G","N",44,8,"Y",12,"A",1,31,17,7,"N","N","A",2,2
"12011",3,1,21,6,"C","A","Y","D",8,"B",10,1,"H","N",38,15,"Y",12,"A",1,31,21,3,"Y","N","D",4,4
"12012",1,2,5,5,"C","A","N","D",3,"B",15,3,"C","N",45,11,"N",6,"A",1,34,22,7,"Y","N","E",5,1
"12013",7,12,17,1,"B","C","N","D",12,"B",20,2,"A","N",49,11,"Y",6,"A",1,25,21,7,"Y","N","E",2,1
"12014",5,10,4,3,"N","H","Y","E",8,"H",20,1,"R","N",9,23,"Y",13,"B",2,25,2,6,"Y","N","E",2,1
"12015",2,5,13,2,"B","I","N","E",3,"N",15,3,"J","Y",69,8,"N",22,"A",1,31,5,4,"Y","Y","E",1,4
"12016",3,13,22,2,"E","C","Y","D",12,"L",15,1,"I","N",78,18,"Y",8,"A",2,28,16,4,"N","N","A",4,5
"12017",7,6,4,2,"N","K","N","E",12,"H",20,1,"R","N",81,3,"N",5,"A",2,31,23,5,"Y","N","E",2,1
"12019",7,2,20,3,"N","H","Y","F",3,"J",15,3,"J","N",47,17,"N",11,"B",3,37,22,6,"Y","N","E",3,5
"12020",17,10,9,6,"N","K","N","E",3,"H",15,1,"K","Y",65,11,"N",16,"A",2,40,3,6,"Y","Y","E",2,9
"12022",10,15,22,3,"B","H","Y","E",8,"I",15,1,"R","N",35,10,"N",10,"B",2,25,1,7,"Y","N","C",2,1
"12023",2,7,13,1,"B","A","N","D",8,"B",15,1,"B","Y",65,7,"Y",15,"B",2,28,4,1,"Y","Y","E",3,1
"12024",1,13,15,4,"N","C","N","D",7,"L",10,1,"I","N",9,9,"N",9,"C",2,28,1,3,"Y","N","E",2,3
"12025",4,16,18,1,"B","B","N","D",3,"B",15,1,"I","N",70,11,"Y",11,"A",3,37,21,3,"Y","N","E",4,7
"12028",2,1,18,2,"C","H","Y","E",3,"H",15,2,"K","N",31,12,"N",5,"B",2,37,21,3,"N","N","E",3,3
"12031",1,6,3,2,"C","A","Y","D",2,"B",10,3,"B","N",67,9,"N",5,"A",2,37,20,5,"Y","N","E",2,3
